,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
323,FLURMÖBEL,exclusive,Domestic,dropship,0.348,0.012,0.339,0.028
324,FLURMÖBEL,other,Import,mto,0.432,0.012,0.388,0.042
325,FLURMÖBEL,other,Import,wh,0.438,0.012,0.445,0.032
326,FLURMÖBEL,other,Import,dropship,0.427,0.012,0.411,0.028
327,FLURMÖBEL,other,EE,mto,0.366,0.012,0.321,0.042
328,FLURMÖBEL,other,EE,wh,0.373,0.012,0.378,0.032
329,FLURMÖBEL,other,EE,dropship,0.361,0.012,0.344,0.028
330,FLURMÖBEL,other,Domestic,mto,0.338,0.012,0.3,0.042
331,FLURMÖBEL,other,Domestic,wh,0.345,0.012,0.356,0.032
332,FLURMÖBEL,other,Domestic,dropship,0.333,0.012,0.322,0.028
333,FLURMÖBEL,thirdParty,Import,mto,0.419,0.012,0.374,0.042
334,FLURMÖBEL,thirdParty,Import,wh,0.426,0.012,0.43,0.032
335,FLURMÖBEL,thirdParty,Import,dropship,0.415,0.012,0.396,0.028
336,FLURMÖBEL,thirdParty,EE,mto,0.353,0.012,0.307,0.042
337,FLURMÖBEL,thirdParty,EE,wh,0.36,0.012,0.363,0.032
338,FLURMÖBEL,thirdParty,EE,dropship,0.349,0.012,0.329,0.028
339,FLURMÖBEL,thirdParty,Domestic,mto,0.325,0.012,0.285,0.042
340,FLURMÖBEL,thirdParty,Domestic,wh,0.332,0.012,0.342,0.032
